onset	duration	trial_type	sub_type	electrodes_involved_onset	electrodes_involved_offset	offset	sample_start	sample_end	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_current	electrical_stimulation_frequency	electrical_stimulation_pulsewidth	notes
1348.6328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	1348.6338125	690500	690500.512	monophasic	OT5-OT4	0.007	0.2	0.001	n/a
1353.6328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	1353.6338125	693060	693060.512	monophasic	OT5-OT4	0.007	0.2	0.001	n/a
1358.6328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	1358.6338125	695620	695620.512	monophasic	OT5-OT4	0.007	0.2	0.001	n/a
1363.6328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	1363.6338125	698180	698180.512	monophasic	OT5-OT4	0.007	0.2	0.001	n/a
1368.6328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	1368.6338125	700740	700740.512	monophasic	OT5-OT4	0.007	0.2	0.001	n/a
1373.6328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	1373.6338125	703300	703300.512	monophasic	OT5-OT4	0.007	0.2	0.001	n/a
1378.6328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	1378.6338125	705860	705860.512	monophasic	OT5-OT4	0.007	0.2	0.001	n/a
1383.6328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	1383.6338125	708420	708420.512	monophasic	OT5-OT4	0.007	0.2	0.001	n/a
1388.6328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	1388.6338125	710980	710980.512	monophasic	OT5-OT4	0.007	0.2	0.001	n/a
1393.6328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	1393.6338125	713540	713540.512	monophasic	OT5-OT4	0.007	0.2	0.001	n/a
1409.6640625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1409.6650625	721748	721748.512	monophasic	OT5-OT6	0.007	0.2	0.001	n/a
1414.6640625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1414.6650625	724308	724308.512	monophasic	OT5-OT6	0.007	0.2	0.001	n/a
1419.6640625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1419.6650625	726868	726868.512	monophasic	OT5-OT6	0.007	0.2	0.001	n/a
1424.6640625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1424.6650625	729428	729428.512	monophasic	OT5-OT6	0.007	0.2	0.001	n/a
1429.6640625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1429.6650625	731988	731988.512	monophasic	OT5-OT6	0.007	0.2	0.001	n/a
1434.6640625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1434.6650625	734548	734548.512	monophasic	OT5-OT6	0.007	0.2	0.001	n/a
1439.6640625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1439.6650625	737108	737108.512	monophasic	OT5-OT6	0.007	0.2	0.001	n/a
1444.6640625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1444.6650625	739668	739668.512	monophasic	OT5-OT6	0.007	0.2	0.001	n/a
1449.6640625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1449.6650625	742228	742228.512	monophasic	OT5-OT6	0.007	0.2	0.001	n/a
1454.6640625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1454.6650625	744788	744788.512	monophasic	OT5-OT6	0.007	0.2	0.001	n/a
1471.6953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	1471.6963125	753508	753508.512	monophasic	OT7-OT6	0.007	0.2	0.001	n/a
